Time,Raw_Z,Filtered_Z
1775799536.2962012,1404,1349
1775799536.407988,1396,1347
1775799536.50412,1308,1354
1775799536.6001482,1412,1367
1775799536.6962492,1300,1376
1775799536.808208,1300,1380
1775799536.9042928,1376,1381
1775799537.000188,1304,1377
1775799537.0962417,1348,1364
1775799537.2082684,1508,1355
1775799537.304155,1260,1345
1775799537.4001672,1488,1334
1775799537.4960356,1260,1340
1775799537.6082137,1576,1346
1775799537.7042928,1036,1357
1775799537.8002203,1484,1374
1775799537.8962624,1404,1383
1775799538.0082839,1256,1376
1775799538.1045957,1432,1372
1775799538.2000935,1240,1367
1775799538.2961984,1324,1346
1775799538.4082506,1220,1342
1775799538.504117,1436,1352
1775799538.6001346,1276,1343
1775799538.696202,1340,1331
1775799538.8081818,1200,1327
1775799538.9041798,1400,1310
1775799539.00003,1336,1307
1775799539.0960772,1428,1312
1775799539.2081425,1232,1314
1775799539.3041897,1360,1313
1775799539.4000742,1288,1314
1775799539.4961095,1412,1322
1775799539.608012,1424,1333
1775799539.7040393,1308,1339
1775799539.800062,1356,1335
1775799539.896081,1408,1336
1775799540.0080626,1428,1341
1775799540.1041183,1300,1351
1775799540.2000246,1464,1364
1775799540.2963154,1312,1370
1775799540.408302,1300,1369
1775799540.5040097,1356,1378
1775799540.600032,1520,1382
1775799540.6962533,1308,1375
1775799540.8079567,1336,1371
1775799540.9039915,1292,1368
1775799540.999892,1396,1359
1775799541.0960965,1348,1363
1775799541.208024,1236,1374
1775799541.3040845,1340,1368
1775799541.4001694,1424,1356
1775799541.4961052,1232,1344
1775799541.607999,1408,1337
1775799541.70391,1340,1333
1775799541.7998908,1288,1325
1775799541.895744,1328,1326
1775799542.0078826,1196,1336
1775799542.104011,1420,1333
1775799542.1999564,1208,1334
1775799542.2958777,1368,1332
1775799542.407881,1420,1320
1775799542.5039115,1516,1308
1775799542.6000233,1316,1300
1775799542.6959221,1336,1305
1775799542.8078647,1304,1322
1775799542.9039216,1424,1341
1775799542.9997997,1280,1370
1775799543.0958533,1348,1388
1775799543.2080612,1256,1382
1775799543.303822,1308,1367
1775799543.399814,1260,1353
1775799543.4957867,1384,1343
1775799543.6077807,1272,1331
1775799543.7038832,1376,1318
1775799543.8000152,1252,1309
1775799543.8959026,1396,1302
1775799544.007744,1280,1302
1775799544.1038673,1316,1309
1775799544.2000246,1292,1316
1775799544.2963781,1436,1320
1775799544.4079268,1296,1320
1775799544.5039518,1260,1320
1775799544.599935,1416,1322
1775799544.6958299,1372,1322
1775799544.8078914,1340,1323
1775799544.9037764,1256,1333
