Time,Raw_Z
1775799536.249688,1384
1775799536.2497659,1424
1775799536.2497902,1260
1775799536.249818,1396
1775799536.2498407,1352
1775799536.2498593,1396
1775799536.249878,1400
1775799536.2498972,1420
1775799536.2499244,1304
1775799536.249942,1348
1775799536.24996,1328
1775799536.249977,1380
1775799536.2499955,1360
1775799536.2500134,1212
1775799536.250031,1308
1775799536.2500489,1436
1775799536.250067,1332
1775799536.2500887,1412
1775799536.2501056,1224
1775799536.2501225,1412
1775799536.2501395,1244
1775799536.2501564,1384
1775799536.2501733,1392
1775799536.25019,1344
1775799536.250208,1452
1775799536.2502286,1312
1775799536.2939637,1404
1775799536.3940115,1396
1775799536.4940455,1308
1775799536.5940955,1412
1775799536.6948934,1300
1775799536.7951057,1300
1775799536.8949661,1376
1775799536.9951167,1304
1775799537.0950289,1348
1775799537.1949391,1508
1775799537.2949176,1260
1775799537.3949528,1488
1775799537.4949503,1260
1775799537.594923,1576
1775799537.6942997,1036
1775799537.7942255,1484
1775799537.8943136,1404
1775799537.9942594,1256
1775799538.094149,1432
1775799538.194057,1240
1775799538.2942295,1324
1775799538.3942204,1220
1775799538.4940453,1436
1775799538.594193,1276
1775799538.69415,1340
1775799538.7949247,1200
1775799538.8949187,1400
1775799538.994891,1336
1775799539.0950477,1428
1775799539.1949463,1232
1775799539.2951217,1360
1775799539.394901,1288
1775799539.4949806,1412
1775799539.5948424,1424
1775799539.6949584,1308
1775799539.7944753,1356
1775799539.8939934,1408
1775799539.9942453,1428
1775799540.094035,1300
1775799540.1939762,1464
1775799540.2941334,1312
1775799540.3941016,1300
1775799540.4940314,1356
1775799540.5940979,1520
1775799540.694112,1308
1775799540.7943282,1336
1775799540.8949418,1292
1775799540.9949384,1396
1775799541.0948975,1348
1775799541.1950793,1236
1775799541.2951348,1340
1775799541.395461,1424
1775799541.4949968,1232
1775799541.5948386,1408
1775799541.6948912,1340
1775799541.7948782,1288
1775799541.8948133,1328
1775799541.9939024,1196
1775799542.0938945,1420
1775799542.194023,1208
1775799542.2940187,1368
1775799542.3939643,1420
1775799542.4940882,1516
1775799542.594115,1316
1775799542.693949,1336
1775799542.794072,1304
1775799542.8945398,1424
1775799542.9949207,1280
1775799543.0949242,1348
1775799543.1951418,1256
1775799543.2949343,1308
1775799543.3948524,1260
1775799543.4948735,1384
1775799543.5949032,1272
1775799543.6949263,1376
1775799543.7950075,1252
1775799543.8950045,1396
1775799543.9948494,1280
1775799544.0940278,1316
1775799544.1941705,1292
1775799544.2945914,1436
1775799544.3941288,1296
1775799544.4942086,1260
1775799544.5941849,1416
1775799544.6941094,1372
1775799544.7944171,1340
1775799544.8939672,1256
1775799544.99393,1328
1775799545.0951355,1264
1775799545.1950085,1300
1775799545.2950642,1328
1775799545.3949158,1328
1775799545.494877,1220
1775799545.5949233,1332
1775799545.694987,1332
1775799545.794903,1400
1775799545.894903,1332
1775799545.9950974,1476
1775799546.0950315,1388
1775799546.1951854,1372
1775799546.294257,1436
1775799546.394227,1348
1775799546.4942799,1364
1775799546.5941904,1308
1775799546.6942074,1364
1775799546.7939525,1260
1775799546.8942196,1368
1775799546.9940472,1332
1775799547.094249,1428
1775799547.195099,1248
1775799547.294897,1392
1775799547.3948576,1312
1775799547.4949713,1196
1775799547.5954301,1356
1775799547.6949918,1316
1775799547.794894,1388
1775799547.894953,1304
1775799547.9948387,1448
1775799548.0948577,1300
1775799548.1948986,1408
1775799548.2948587,1376
1775799548.3950095,1360
1775799548.4940012,1540
1775799548.5940888,1280
1775799548.6940956,1260
1775799548.7940147,1320
1775799548.8941092,1400
1775799548.9939668,1400
1775799549.0941164,1320
1775799549.1941614,1272
1775799549.2950284,1208
1775799549.3950882,1376
1775799549.4949198,1340
1775799549.594902,1400
1775799549.694846,1344
1775799549.7948964,1324
1775799549.8949025,1248
1775799549.9949167,1336
1775799550.0949016,1292
1775799550.1949184,1300
1775799550.2949102,1344
1775799550.394975,1284
1775799550.4949203,1332
1775799550.5940683,1288
1775799550.6939595,1408
1775799550.7941153,1328
1775799550.8939822,1348
1775799550.994058,1260
1775799551.094117,1308
1775799551.1940355,1352
1775799551.2941253,1220
1775799551.394988,1400
1775799551.4951541,1428
1775799551.5950854,1296
1775799551.6950061,1364
1775799551.7949932,1340
1775799551.894985,1544
1775799551.99492,1256
1775799552.0948622,1300
1775799552.1949136,1396
1775799552.29497,1444
1775799552.3949053,1280
1775799552.4949205,1296
1775799552.594887,1308
1775799552.6949198,1312
1775799552.7940118,1376
1775799552.8939502,1336
1775799552.9939878,1368
1775799553.094065,1360
1775799553.1940484,1360
1775799553.2949834,1272
1775799553.3940685,1264
1775799553.494987,1280
1775799553.595032,1348
1775799553.6951008,1364
1775799553.7949133,1384
1775799553.894988,1276
1775799553.9948633,1312
1775799554.0949726,1304
1775799554.1949344,1484
1775799554.2948651,1212
1775799554.3949134,1404
1775799554.495084,1332
1775799554.5949714,1408
1775799554.6949074,1292
1775799554.7949646,1340
1775799554.8940954,980
1775799554.993962,1704
1775799555.094087,1168
1775799555.1944149,1588
1775799555.2941391,1248
1775799555.3940723,1352
1775799555.4939597,1136
1775799555.5951371,1392
1775799555.6951444,1376
1775799555.7949164,1320
1775799555.8949947,1324
1775799555.9949756,1400
1775799556.0948858,1348
1775799556.1948946,1288
1775799556.2949085,1368
1775799556.3949015,1276
1775799556.4948606,1296
1775799556.5948617,1288
1775799556.694937,1456
1775799556.794969,1308
1775799556.8949714,1372
1775799556.9949017,1328
1775799557.094158,1372
1775799557.194158,1320
1775799557.2942045,1320
1775799557.3940368,1396
1775799557.494098,1296
1775799557.5940537,1420
1775799557.6951847,1348
1775799557.7949615,1320
1775799557.8951786,1356
1775799557.9950318,1348
1775799558.0949614,1468
1775799558.195002,1300
1775799558.2949831,1444
1775799558.3949356,1372
1775799558.4949892,1356
1775799558.595069,1364
1775799558.6949084,1344
1775799558.794986,1320
1775799558.8949897,1368
1775799558.9949932,1376
1775799559.0951502,1420
1775799559.1950617,1288
1775799559.294367,1408
1775799559.3944662,1348
1775799559.4943507,1412
1775799559.5944571,1448
1775799559.6939912,1404
1775799559.795292,1328
1775799559.89531,1264
1775799559.9951673,1360
1775799560.095016,1284
1775799560.1949337,1548
1775799560.2949495,1168
1775799560.3951492,1436
1775799560.4949346,1240
1775799560.5951989,1340
1775799560.6950638,1260
1775799560.79504,1372
1775799560.8951976,1384
1775799560.9951403,1372
1775799561.0950518,1272
1775799561.1950235,1380
1775799561.2950294,1384
1775799561.3942964,1364
1775799561.4942656,1404
1775799561.5940366,1376
1775799561.6943762,1304
1775799561.7940578,1376
1775799561.8957045,1324
1775799561.9950259,1408
1775799562.0954275,1368
1775799562.1950054,1404
1775799562.295272,1244
1775799562.3952982,1296
1775799562.4949937,1376
1775799562.595059,1392
1775799562.6949298,1260
1775799562.7950315,1384
1775799562.8951967,1280
1775799562.99498,1388
1775799563.0950472,1428
1775799563.1950164,1316
1775799563.295018,1464
1775799563.3951044,1328
1775799563.4950702,1300
1775799563.5942671,1360
1775799563.694185,1296
1775799563.794169,1340
1775799563.8940556,1360
1775799563.9952126,1240
1775799564.094992,1380
1775799564.1951149,1416
1775799564.2954595,1252
1775799564.3951485,1240
1775799564.4953227,1252
1775799564.5949411,1400
1775799564.6949174,1300
1775799564.7950115,1404
1775799564.8950088,1296
1775799564.9951503,1392
1775799565.0950754,1344
1775799565.194923,1332
1775799565.29507,1352
1775799565.3949854,1404
1775799565.495009,1324
1775799565.5949106,1372
1775799565.6942043,1488
1775799565.7941005,1380
1775799565.89419,1256
1775799565.9941921,1380
1775799566.0951302,1312
1775799566.1951232,1400
1775799566.2951043,1372
1775799566.3954413,1376
1775799566.495163,1344
1775799566.5952313,1240
1775799566.6951847,1400
1775799566.7949336,1204
1775799566.8950217,1316
1775799566.995076,1364
1775799567.0950212,1376
1775799567.1949286,1260
1775799567.2950256,1392
1775799567.3950834,1296
1775799567.4949877,1280
1775799567.5950127,1388
1775799567.6949587,1324
1775799567.7948718,1392
1775799567.894273,1196
1775799567.9939325,1280
1775799568.0941186,1260
1775799568.1954699,1380
1775799568.2950416,1344
1775799568.3951497,1332
1775799568.4954484,1360
1775799568.5949771,1304
1775799568.695151,1340
1775799568.795027,1316
1775799568.895031,1332
1775799568.9949434,1272
1775799569.0949166,1352
1775799569.1950266,1300
1775799569.295027,1376
1775799569.3954906,1240
1775799569.4950056,1340
1775799569.5950263,1344
1775799569.6950214,1400
1775799569.795092,1316
1775799569.8951788,1424
1775799569.9951315,1392
1775799570.0946176,1300
1775799570.1941378,1328
1775799570.294907,1376
1775799570.3960884,1316
1775799570.495015,1284
1775799570.5951552,1312
1775799570.695271,1364
1775799570.795272,1284
1775799570.8956888,1272
1775799570.9952245,1352
1775799571.0950067,1312
1775799571.19505,1384
1775799571.2949564,1316
1775799571.395169,1264
1775799571.49498,1260
1775799571.5954893,1412
1775799571.6949968,1376
1775799571.794901,1320
1775799571.8950534,1332
1775799571.995037,1432
1775799572.0955265,1260
1775799572.194261,1348
1775799572.2940912,1404
1775799572.3955505,1340
1775799572.4952059,1324
1775799572.5952327,1320
1775799572.694987,1736
1775799572.795216,1180
1775799572.8952186,1508
1775799572.9949334,1320
1775799573.0952623,1356
1775799573.19507,1372
1775799573.295407,1416
1775799573.3950148,1468
1775799573.4950707,1304
1775799573.5949714,1380
1775799573.6950858,1384
1775799573.7949443,1324
1775799573.89499,1408
1775799573.9950202,1332
1775799574.0949552,1376
1775799574.1951814,1388
1775799574.2949886,1372
1775799574.394207,1136
1775799574.4951706,1372
1775799574.5952065,1364
1775799574.6951227,1220
